Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
102528,64,2,39498,3,1,2,312
102533,24,16,109214,4,5,4,454
102539,35,12,102038,4,4,4,444
102541,12,9,57041,5,4,3,543
102554,4,17,120534,5,5,4,554
102557,15,19,269141,5,5,5,555
102568,312,10,10651,1,4,1,141
102599,530,1,599,1,1,1,111
102602,362,2,1898,1,1,1,111
102623,83,2,28498,3,1,2,312
102624,57,27,119554,3,5,4,354
102631,36,6,55044,4,2,3,423
102637,20,4,6296,4,2,1,421
102652,185,9,152341,2,4,5,245
102656,224,6,110394,1,2,4,124
102672,64,10,142840,3,4,5,345
102699,698,1,29999,1,1,2,112
102728,44,7,21059,4,3,2,432
102746,52,13,136548,3,5,5,355
102778,90,3,75897,3,1,4,314
102793,7,9,165391,5,4,5,545
102802,122,2,20998,2,1,2,212
102814,128,14,106808,2,5,4,254
102839,24,14,193796,4,5,5,455
102852,231,5,95995,1,2,4,124
102863,9,26,190024,5,5,5,555
102886,429,1,999,1,1,1,111
102922,22,37,453713,4,5,5,455
102936,65,1,2999,3,1,1,311
102961,671,1,599,1,1,1,111
102967,52,4,7196,3,2,1,321
102970,241,5,6375,1,2,1,121
102971,251,10,79846,1,4,4,144
102985,191,8,64292,1,3,3,133
102993,270,1,4499,1,1,1,111
102994,40,5,52495,4,2,3,423
103000,68,10,57580,3,4,3,343
103030,32,9,52171,4,4,3,443
103045,73,5,190546,3,2,5,325
103055,35,22,259008,4,5,5,455
103106,44,6,59844,4,2,3,423
103118,170,2,6498,2,1,1,211
103132,4,31,345079,5,5,5,555
103134,180,9,130091,2,4,5,245
103137,122,3,62997,2,1,3,213
103140,292,10,88190,1,4,4,144
103154,9,7,48093,5,3,3,533
103170,546,1,4999,1,1,1,111
103176,3,30,429497,5,5,5,555
103177,80,9,109791,3,4,4,344
103188,65,29,349932,3,5,5,355
103193,13,6,41194,5,2,2,522
103200,78,9,67341,3,4,3,343
103205,195,7,10493,1,3,1,131
103227,80,10,38190,3,4,2,342
103256,61,4,7352,3,2,1,321
103295,378,4,6096,1,2,1,121
103306,333,3,4697,1,1,1,111
103313,60,8,44692,3,3,3,333
103322,363,3,32097,1,1,2,112
103329,21,6,11694,4,2,1,421
103362,43,17,93363,4,5,4,454
103365,11,2,34498,5,1,2,512
103375,37,6,44594,4,2,3,423
103378,220,10,116640,1,4,4,144
103380,0,30,316386,5,5,5,555
103390,0,7,30693,5,3,2,532
103395,5,18,129192,5,5,5,555
103405,267,3,35497,1,1,2,112
103406,11,10,94090,5,4,4,544
103426,33,21,301179,4,5,5,455
103438,64,6,55294,3,2,3,323
103440,151,10,84861,2,4,4,244
103449,195,10,77990,1,4,4,144
103452,54,26,204124,3,5,5,355
103458,35,12,181688,4,4,5,445
103496,1,10,40300,5,4,2,542
103501,121,8,76592,2,3,4,234
103505,121,3,46197,2,1,3,213
103513,53,9,46351,3,4,3,343
103515,23,8,138863,4,3,5,435
103522,10,9,141152,5,4,5,545
103527,81,9,60701,3,4,3,343
103565,45,6,21194,4,2,2,422
103573,53,6,109794,3,2,4,324
103604,9,8,40442,5,3,2,532
103631,35,9,100941,4,4,4,444
103632,712,1,34999,1,1,2,112
103638,18,10,39790,5,4,2,542
103640,98,10,112840,2,4,4,244
103678,41,29,243571,4,5,5,455
103679,205,4,2946,1,2,1,121
103690,7,5,3995,5,2,1,521
103695,33,19,205137,4,5,5,455
103697,19,23,206587,4,5,5,455
103730,440,2,2648,1,1,1,111
103736,16,8,56292,5,3,3,533
103748,97,6,30144,2,2,2,222
103765,21,6,66160,4,2,3,423
103788,27,9,115991,4,4,4,444
103792,7,25,158046,5,5,5,555
103799,67,8,28343,3,3,2,332
103814,7,23,445457,5,5,5,555
103831,27,8,93692,4,3,4,434
103870,26,26,354535,4,5,5,455
103874,103,9,22841,2,4,2,242
103879,52,8,39302,3,3,2,332
103889,89,9,78247,3,4,4,344
103908,480,3,33847,1,1,2,112
103917,41,9,72291,4,4,3,443
103930,355,1,899,1,1,1,111
103951,24,7,11373,4,3,1,431
103957,15,30,332679,5,5,5,555
103965,17,4,15396,5,2,2,522
103970,56,1,999,3,1,1,311
103971,51,6,57555,3,2,3,323
103973,7,10,231790,5,4,5,545
103981,164,10,110390,2,4,4,244
103989,53,12,120988,3,4,4,344
103997,296,7,21893,1,3,2,132
104041,310,1,499,1,1,1,111
104082,17,9,11577,5,4,1,541
104089,33,10,174690,4,4,5,445
104091,17,24,114232,5,5,4,554
104108,4,30,335520,5,5,5,555
104124,58,4,26596,3,2,2,322
104127,564,1,2999,1,1,1,111
104135,29,1,1299,4,1,1,411
104142,177,4,3707,2,2,1,221
104149,430,8,118392,1,3,4,134
104163,6,5,71795,5,2,3,523
104174,90,5,34045,3,2,2,322
104185,144,7,38193,2,3,2,232
104198,86,10,97190,3,4,4,344
104243,26,17,151633,4,5,5,455
104246,114,5,53895,2,2,3,223
104263,162,9,213862,2,4,5,245
104272,204,9,72691,1,4,3,143
104292,6,30,316326,5,5,5,555
104303,82,10,123000,3,4,4,344
104310,110,9,24952,2,4,2,242
104345,10,22,115178,5,5,4,554
104347,1,9,137541,5,4,5,545
104364,102,6,31294,2,2,2,222
104368,117,4,68496,2,2,3,223
104388,656,2,5998,1,1,1,111
104416,29,11,85489,4,4,4,444
104418,345,8,132402,1,3,5,135
104420,40,17,116693,4,5,4,454
104426,41,3,50068,4,1,3,413
104428,86,7,85973,3,3,4,334
104462,506,1,50,1,1,1,111
104470,65,5,127395,3,2,4,324
104482,4,27,173839,5,5,5,555
104488,13,1,3499,5,1,1,511
104492,51,6,18994,3,2,2,322
104506,27,10,59640,4,4,3,443
104528,148,5,11545,2,2,1,221
104554,293,1,2999,1,1,1,111
104582,24,8,110592,4,3,4,434
104593,296,6,51994,1,2,3,123
104626,206,5,28595,1,2,2,122
104639,0,25,177881,5,5,5,555
104648,62,13,101637,3,5,4,354
104657,58,10,99290,3,4,4,344
104667,6,21,208729,5,5,5,555
104671,86,29,346237,3,5,5,355
104688,238,5,8295,1,2,1,121
104712,7,35,255915,5,5,5,555
104717,53,5,32095,3,2,2,322
104720,100,1,349,2,1,1,211
104733,87,7,44793,3,3,3,333
104738,4,15,122765,5,5,4,554
104755,195,1,4999,1,1,1,111
104764,193,6,101994,1,2,4,124
104772,138,3,6197,2,1,1,211
104778,10,8,36792,5,3,2,532
104814,30,13,141087,4,5,5,455
104819,108,10,83590,2,4,4,244
104840,43,28,336472,4,5,5,455
104855,59,10,183890,3,4,5,345
104871,43,10,126541,4,4,4,444
104904,181,9,109841,2,4,4,244
104939,110,7,35044,2,3,2,232
104973,24,22,143708,4,5,5,455
104981,31,53,490296,4,5,5,455
105007,377,3,51397,1,1,3,113
105008,201,5,30205,1,2,2,122
105017,52,7,52959,3,3,3,333
105031,130,8,61892,2,3,3,233
105037,6,26,235857,5,5,5,555
105060,20,22,151988,4,5,5,455
105062,1,10,101380,5,4,4,544
105084,122,10,71361,2,4,3,243
105090,44,14,188916,4,5,5,455
105120,10,8,61692,5,3,3,533
105122,185,8,36202,2,3,2,232
105124,42,4,9646,4,2,1,421
105159,108,2,6498,2,1,1,211
105164,290,5,45495,1,2,3,123
105206,137,7,8449,2,3,1,231
105227,101,9,96291,2,4,4,244
105248,66,8,89953,3,3,4,334
105256,56,16,147564,3,5,5,355
105271,275,1,19999,1,1,2,112
105274,43,29,138128,4,5,5,455
105278,105,4,28296,2,2,2,222
105318,106,1,2499,2,1,1,211
105337,9,32,263396,5,5,5,555
105348,0,22,213628,5,5,5,555
105364,4,10,165490,5,4,5,545
105367,70,7,103693,3,3,4,334
105379,11,4,26196,5,2,2,522
105381,24,4,6196,4,2,1,421
105385,27,6,7344,4,2,1,421
105387,168,6,72394,2,2,3,223
105403,15,10,14990,5,4,1,541
105415,26,1,49999,4,1,3,413
105430,188,8,69872,1,3,3,133
105445,694,1,599,1,1,1,111
105484,31,19,319181,4,5,5,455
105501,46,14,187786,4,5,5,455
105514,17,21,102579,5,5,4,554
105546,361,4,28297,1,2,2,122
105547,116,3,22797,2,1,2,212
105554,20,1,15999,4,1,2,412
105562,12,7,45193,5,3,3,533
105563,37,26,219034,4,5,5,455
105577,69,21,235130,3,5,5,355
105591,62,9,91391,3,4,4,344
105602,434,1,34999,1,1,2,112
105606,10,4,51996,5,2,3,523
105608,143,4,101996,2,2,4,224
105621,157,3,15497,2,1,2,212
105622,42,8,94392,4,3,4,434
105627,9,7,19714,5,3,2,532
105642,393,1,42999,1,1,2,112
105643,118,7,112993,2,3,4,234
105647,95,1,499,2,1,1,211
105663,21,43,366853,4,5,5,455
105665,7,11,63489,5,4,3,543
105682,7,9,41441,5,4,2,542
105700,19,14,95686,4,5,4,454
105706,234,9,11941,1,4,1,141
105714,12,29,223001,5,5,5,555
105740,475,1,1999,1,1,1,111
105749,155,8,73342,2,3,3,233
105765,259,2,2098,1,1,1,111
105766,27,11,84839,4,4,4,444
105773,0,29,85342,5,5,4,554
105782,6,22,105149,5,5,4,554
105815,95,10,186690,2,4,5,245
105837,10,9,52712,5,4,3,543
105871,60,12,78688,3,4,4,344
105889,90,8,22192,3,3,2,332
105945,234,1,9999,1,1,1,111
105963,83,4,5446,3,2,1,321
105968,15,9,73151,5,4,3,543
105976,39,9,116841,4,4,4,444
105988,158,2,628,2,1,1,211
105996,293,4,26246,1,2,2,122
106020,157,3,36997,2,1,2,212
106024,109,4,15896,2,2,2,222
106032,132,13,85758,2,5,4,254
106038,148,8,110492,2,3,4,234
106089,197,5,65356,1,2,3,123
106118,24,10,42746,4,4,2,442
106131,15,9,36991,5,4,2,542
106135,58,2,3798,3,1,1,311
106141,15,5,143995,5,2,5,525
106161,120,9,50341,2,4,3,243
106168,426,4,74996,1,2,4,124
106174,48,3,29797,3,1,2,312
106176,45,7,36193,4,3,2,432
106180,4,6,126494,5,2,4,524
106186,113,9,100041,2,4,4,244
106187,17,8,93692,5,3,4,534
106194,179,1,2499,2,1,1,211
106203,273,1,3999,1,1,1,111
106208,289,5,7066,1,2,1,121
106223,42,6,29694,4,2,2,422
106238,195,1,4499,1,1,1,111
106281,81,10,44690,3,4,3,343
106282,211,3,5997,1,1,1,111
106290,4,16,62694,5,5,3,553
106296,39,19,118512,4,5,4,454
106297,82,7,27243,3,3,2,332
106315,127,5,95905,2,2,4,224
106338,81,4,93246,3,2,4,324
106347,56,3,33397,3,1,2,312
106355,10,9,54641,5,4,3,543
106363,6,3,3897,5,1,1,511
106368,57,4,42296,3,2,2,322
106373,40,7,53493,4,3,3,433
106379,284,2,90598,1,1,4,114
106400,54,10,188790,3,4,5,345
106414,7,26,257795,5,5,5,555
106415,255,2,1098,1,1,1,111
106416,121,19,128281,2,5,4,254
106442,283,4,33996,1,2,2,122
106451,116,8,55192,2,3,3,233
106453,6,23,217698,5,5,5,555
106455,109,3,3497,2,1,1,211
106461,35,23,211728,4,5,5,455
106500,6,12,216538,5,4,5,545
106511,685,1,1499,1,1,1,111
106525,58,6,41724,3,2,2,322
106530,13,5,59395,5,2,3,523
106549,331,5,8595,1,2,1,121
106571,13,9,106691,5,4,4,544
106581,16,7,48793,5,3,3,533
106584,6,9,173172,5,4,5,545
106587,196,9,66491,1,4,3,143
106590,257,1,349,1,1,1,111
106594,47,14,93912,4,5,4,454
106630,91,17,394683,3,5,5,355
106634,115,10,30600,2,4,2,242
106640,137,9,108791,2,4,4,244
106666,101,8,64492,2,3,3,233
106671,25,4,5296,4,2,1,421
106672,29,10,102046,4,4,4,444
106677,286,8,16342,1,3,2,132
106686,165,6,26494,2,2,2,222
106712,42,10,72026,4,4,3,443
106734,41,10,99500,4,4,4,444
106736,24,14,77486,4,5,4,454
106743,70,6,47965,3,2,3,323
106765,366,5,7666,1,2,1,121
106774,222,6,63494,1,2,3,123
106779,98,7,83393,2,3,4,234
106859,729,1,199,1,1,1,111
106865,90,2,15998,3,1,2,312
106890,5,9,32191,5,4,2,542
106896,12,26,323596,5,5,5,555
106914,15,25,308955,5,5,5,555
106948,39,6,93224,4,2,4,424
106952,14,7,99193,5,3,4,534
106956,107,7,13693,2,3,1,231
106960,209,7,103893,1,3,4,134
106966,73,4,39296,3,2,2,322
106975,262,6,41174,1,2,2,122
106976,47,6,27494,4,2,2,422
106982,483,1,299,1,1,1,111
106986,6,8,41942,5,3,2,532
106990,203,4,10246,1,2,1,121
107006,27,26,173324,4,5,5,455
107063,229,4,5496,1,2,1,121
107066,72,10,95241,3,4,4,344
107074,211,11,169989,1,4,5,145
107087,279,5,87295,1,2,4,124
107102,48,12,79488,3,4,4,344
107114,11,30,208820,5,5,5,555
107125,30,22,250928,4,5,5,455
107148,45,6,19044,4,2,2,422
107154,114,8,61822,2,3,3,233
107169,28,5,13966,4,2,1,421
107194,50,29,82401,3,5,4,354
107201,54,19,179442,3,5,5,355
107208,44,16,47294,4,5,3,453
107237,0,30,188720,5,5,5,555
107252,154,6,15294,2,2,2,222
107259,176,1,2499,2,1,1,211
107264,78,9,57741,3,4,3,343
107267,22,7,116544,4,3,4,434
107286,0,6,7294,5,2,1,521
107292,64,17,320913,3,5,5,355
107303,33,7,92209,4,3,4,434
107325,1,16,97084,5,5,4,554
107340,23,8,89392,4,3,4,434
107343,143,9,113141,2,4,4,244
107371,90,11,57489,3,4,3,343
107408,124,5,88056,2,2,4,224
107415,42,5,58295,4,2,3,423
107423,240,2,3598,1,1,1,111
107434,83,2,1698,3,1,1,311
107440,27,4,30796,4,2,2,422
107464,66,10,43461,3,4,3,343
107469,51,6,12245,3,2,1,321
107470,27,5,66595,4,2,3,423
107472,108,15,119735,2,5,4,254
107490,61,3,82497,3,1,4,314
107499,124,10,56320,2,4,3,243
107512,7,8,66292,5,3,3,533
107535,8,24,236276,5,5,5,555
107538,15,6,68194,5,2,3,523
107555,2,9,112191,5,4,4,544
107605,181,4,6296,2,2,1,221
107634,80,6,17994,3,2,2,322
107635,38,10,57611,4,4,3,443
107677,291,6,88494,1,2,4,124
107679,135,1,1999,2,1,1,211
107688,398,3,5847,1,1,1,111
107689,31,5,50795,4,2,3,423
107700,250,4,16746,1,2,2,122
107755,508,2,84998,1,1,4,114
107764,52,10,17590,3,4,2,342
107771,22,17,168983,4,5,5,455
107774,230,5,57695,1,2,3,123
107792,64,14,151886,3,5,5,355
107820,61,9,20391,3,4,2,342
107838,29,9,207891,4,4,5,445
107849,70,7,114343,3,3,4,334
107857,14,26,367204,5,5,5,555
107862,305,2,698,1,1,1,111
107879,95,11,75340,2,4,4,244
107881,30,26,218196,4,5,5,455
107911,465,2,20498,1,1,2,112
107967,159,2,2098,2,1,1,211
107968,100,13,84888,2,5,4,254
107987,75,7,110793,3,3,4,334
107998,6,17,246683,5,5,5,555
108027,102,5,79095,2,2,4,224
108041,370,3,41797,1,1,2,112
108051,62,9,54927,3,4,3,343
108055,126,7,14493,2,3,1,231
108064,110,3,44297,2,1,3,213
108072,86,10,46690,3,4,3,343
108089,11,10,173640,5,4,5,545
108092,6,22,124228,5,5,4,554
108101,11,7,83393,5,3,4,534
108103,125,8,55592,2,3,3,233
108106,216,2,748,1,1,1,111
108108,30,9,131991,4,4,5,445
108121,149,4,25246,2,2,2,222
108122,8,36,262785,5,5,5,555
108147,86,4,10996,3,2,1,321
108158,35,9,29221,4,4,2,442
108160,144,6,43994,2,2,3,223
108168,94,10,55740,2,4,3,243
108175,245,6,165994,1,2,5,125
108224,136,2,7198,2,1,1,211
108237,500,1,599,1,1,1,111
108255,62,5,63395,3,2,3,323
108263,5,8,83492,5,3,4,534
108270,14,7,57043,5,3,3,533
108289,95,8,115392,2,3,4,234
108292,175,10,94240,2,4,4,244
108295,31,8,102292,4,3,4,434
108298,53,3,8297,3,1,1,311
108310,122,11,114989,2,4,4,244
108333,48,6,7155,3,2,1,321
108341,145,7,144893,2,3,5,235
108343,55,5,41295,3,2,2,322
108418,61,9,107241,3,4,4,344
108428,197,3,15597,1,1,2,112
108439,193,4,9496,1,2,1,121
108441,30,6,78174,4,2,4,424
108446,7,9,91091,5,4,4,544
108447,345,2,35798,1,1,2,112
108452,131,2,3498,2,1,1,211
108472,40,7,107393,4,3,4,434
108479,137,2,264,2,1,1,211
108482,0,12,108238,5,4,4,544
108485,41,25,216365,4,5,5,455
108493,7,38,274862,5,5,5,555
108497,66,9,146891,3,4,5,345
108498,19,4,60496,4,2,3,423
108521,26,5,47695,4,2,3,423
108525,31,22,128208,4,5,4,454
108526,71,6,85194,3,2,4,324
108549,114,9,109891,2,4,4,244
108551,75,7,10293,3,3,1,331
108556,493,4,5196,1,2,1,121
108580,28,14,145586,4,5,5,455
108613,2,8,20008,5,3,2,532
108627,468,2,3998,1,1,1,111
108634,73,4,95596,3,2,4,324
108648,267,2,1708,1,1,1,111
108683,67,8,60392,3,3,3,333
108696,78,8,27192,3,3,2,332
108700,12,3,8697,5,1,1,511
108739,10,28,199072,5,5,5,555
108755,2,6,56940,5,2,3,523
108767,20,10,71040,4,4,3,443
108795,0,19,102492,5,5,4,554
108807,133,1,899,2,1,1,211
108812,236,5,64795,1,2,3,123
108852,79,24,212474,3,5,5,355
108870,72,9,79141,3,4,4,344
108923,11,3,66997,5,1,3,513
108935,190,3,13997,1,1,1,111
108950,316,1,399,1,1,1,111
108968,119,10,57790,2,4,3,243
108969,206,4,15796,1,2,2,122
108973,104,5,60695,2,2,3,223
108983,149,9,50392,2,4,3,243
109007,260,9,115491,1,4,4,144
109012,66,9,93671,3,4,4,344
109013,39,10,159440,4,4,5,445
109034,121,7,33093,2,3,2,232
109048,200,3,11997,1,1,1,111
109061,78,18,183032,3,5,5,355
109142,257,4,2046,1,2,1,121
109149,67,6,44444,3,2,3,323
109159,7,16,150084,5,5,5,555
109167,179,8,111458,2,3,4,234
109168,132,6,9694,2,2,1,221
109176,119,9,57152,2,4,3,243
109196,15,21,278129,5,5,5,555
109219,237,7,87943,1,3,4,134
109227,95,5,36995,2,2,2,222
109244,53,7,150193,3,3,5,335
109248,52,7,86293,3,3,4,334
109261,28,6,130694,4,2,5,425
109272,65,5,26295,3,2,2,322
109279,142,1,499,2,1,1,211
109284,59,9,111091,3,4,4,344
109289,68,9,39991,3,4,2,342
109294,5,41,397071,5,5,5,555
109309,50,8,75292,3,3,4,334
109317,12,6,17394,5,2,2,522
109319,47,9,97591,4,4,4,444
109329,0,15,31586,5,5,2,552
109334,209,9,121891,1,4,4,144
109338,108,6,51694,2,2,3,223
109344,5,8,61072,5,3,3,533
109348,46,9,88191,4,4,4,444
109361,116,6,48594,2,2,3,223
109376,5,20,157730,5,5,5,555
109388,205,6,149594,1,2,5,125
109405,11,8,53892,5,3,3,533
109411,250,6,40694,1,2,2,122
109428,153,3,43597,2,1,3,213
109434,27,28,281093,4,5,5,455
109435,26,5,66345,4,2,3,423
109437,219,3,11997,1,1,1,111
109447,18,24,271076,5,5,5,555
109476,113,8,35592,2,3,2,232
109481,95,8,31892,2,3,2,232
109493,31,9,10991,4,4,1,441
109535,8,3,2197,5,1,1,511
109536,161,10,58300,2,4,3,243
109550,51,4,42396,3,2,2,322
109555,645,1,2999,1,1,1,111
109569,15,7,79593,5,3,4,534
109598,633,1,2999,1,1,1,111
109659,77,18,135000,3,5,5,355
109669,52,1,70,3,1,1,311
109681,581,2,32998,1,1,2,112
109688,40,3,18247,4,1,2,412
109694,29,13,210738,4,5,5,455
109726,9,8,103848,5,3,4,534
109741,33,8,43992,4,3,3,433
109747,79,8,121692,3,3,4,334
109763,105,18,132082,2,5,5,255
109779,94,6,82494,2,2,4,224
109789,99,2,3498,2,1,1,211
109794,0,26,304255,5,5,5,555
109814,249,5,52505,1,2,3,123
109827,480,2,13998,1,1,1,111
109844,339,7,152293,1,3,5,135
109850,7,30,214520,5,5,5,555
109864,8,17,97104,5,5,4,554
109869,180,8,223453,2,3,5,235
109886,2,3,24997,5,1,2,512
109910,21,7,67293,4,3,3,433
109913,8,17,125224,5,5,4,554
109919,279,1,2999,1,1,1,111
109940,293,5,40295,1,2,2,122
109963,21,6,6326,4,2,1,421
109971,102,10,120490,2,4,4,244
109975,131,1,29999,2,1,2,212
109986,116,6,42394,2,2,2,222
110008,5,10,59901,5,4,3,543
110021,548,1,19999,1,1,2,112
110062,8,10,192490,5,4,5,545
110069,109,10,100490,2,4,4,244
110074,76,6,19094,3,2,2,322
110085,23,30,177031,4,5,5,455
110122,66,9,147091,3,4,5,345
110133,71,4,34796,3,2,2,322
110156,76,4,43296,3,2,3,323
110177,50,4,42996,3,2,2,322
110202,104,10,21370,2,4,2,242
110224,63,18,147004,3,5,5,355
110225,154,10,109946,2,4,4,244
110240,22,8,56992,4,3,3,433
110256,39,7,46293,4,3,3,433
110262,34,7,196993,4,3,5,435
110264,6,14,92236,5,5,4,554
110315,429,1,499,1,1,1,111
110357,86,6,112494,3,2,4,324
110363,4,7,42493,5,3,2,532
110381,3,68,642532,5,5,5,555
110428,52,8,108392,3,3,4,334
110436,44,9,83441,4,4,4,444
110438,14,3,28797,5,1,2,512
110460,96,5,16795,2,2,2,222
110493,132,7,71623,2,3,3,233
110495,466,4,37796,1,2,2,122
110497,19,16,185284,4,5,5,455
